Employee_ID,Employee_Satisfaction_Score
1,2.63
2,1.72
3,3.17
4,1.86
5,1.25
6,2.77
7,4.46
8,2.09
9,1.44
10,2.93
11,2.34
12,1.96
13,2.13
14,1.46
15,2.22
16,2.42
17,3.15
18,1.19
19,1.12
20,3.91
21,3.7
22,4.66
23,3.68
24,4.26
25,4.43
26,2.12
27,3.16
28,1.35
29,4.52
30,4.95
31,4.65
32,1.95
33,4.43
34,2.1
35,1.94
36,4.21
37,4.97
38,2.47
39,2.66
40,4.22
41,2.9
42,4.84
43,3.59
44,3.32
45,2.53
46,1.59
47,1.27
48,4.84
49,2.9
50,1.47
51,3.02
52,1.43
53,2.56
54,1.1
55,1.87
56,1.7
57,2.64
58,3.97
59,4.23
60,3.02
61,2.32
62,2.15
63,2.26
64,1.68
65,4.33
66,2.13
67,4.26
68,2.45
69,2.42
70,4.45
71,4.49
72,3.55
73,1.31
74,4.98
75,1.39
76,1.75
77,3.2
78,3.55
79,3.5
80,2.09
81,3.75
82,3.4
83,1.33
84,2.17
85,4.27
86,2.37
87,1.77
88,1.11
89,2.08
90,3.22
91,3.23
92,3.69
93,3.66
94,4.1
95,4.36
96,1.03
97,2.34
98,4.2
99,4.39
100,3.19
101,3.42
102,3.63
103,5
104,2.13
105,2.3
106,2.94
107,2.8
108,4.68
109,2.7
110,1.64
111,4.8
112,3.51
113,4.5
114,3.58
115,1.58
116,2.47
117,3.24
118,4.2
119,2.87
120,4.37
121,4.17
122,2.94
123,4.47
124,1.14
125,1.39
126,4.65
127,4.4
128,1.74
129,1.24
130,1.61
131,2.84
132,2.87
133,1.96
134,3.83
135,3.79
136,3.03
137,1.25
138,4.83
139,1.12
140,4.38
141,3.61
142,4.61
143,2.62
144,1.82
145,2.23
146,4.36
147,3.3
148,4.55
149,4.75
150,3
151,4.76
152,1.02
153,4.44
154,4.88
155,3.78
156,1.05
157,1.79
158,3.34
159,4.04
160,4.15
161,2.85
162,2.04
163,1.78
164,1.97
165,1.82
166,3.49
167,1.14
168,1.97
169,4.25
170,2.59
171,4.72
172,3.63
173,2.24
174,3.36
175,3.85
176,3.59
177,3.79
178,1.14
179,1.3
180,2.89
181,2.39
