Employee_ID,Sick_Days
1,2
2,14
3,3
4,12
5,13
6,0
7,2
8,8
9,14
10,6
11,0
12,13
13,1
14,13
15,1
16,13
17,12
18,12
19,1
20,1
21,13
22,2
23,13
24,8
25,11
26,13
27,6
28,10
29,6
30,9
31,2
32,7
33,14
34,8
35,10
36,11
37,2
38,7
39,1
40,8
41,13
42,2
43,6
44,3
45,3
46,6
47,1
48,2
49,2
50,13
51,4
52,8
53,3
54,8
55,6
56,3
57,8
58,12
59,2
60,8
61,4
62,13
63,0
64,9
65,9
66,3
67,0
68,14
69,6
70,11
71,8
72,11
73,1
74,1
75,10
76,3
77,0
78,6
79,13
80,6
81,6
82,14
83,13
84,14
85,13
86,4
87,1
88,4
89,5
90,2
91,6
92,12
93,7
94,7
95,10
96,2
97,12
98,10
99,9
100,14
101,14
102,3
103,2
104,13
105,0
106,9
107,12
108,9
109,11
110,5
111,7
112,12
113,8
114,14
115,0
116,8
117,3
118,3
119,10
120,1
121,6
122,11
123,5
124,7
125,7
126,12
127,0
128,6
129,6
130,1
131,6
132,5
133,9
134,2
135,12
136,1
137,2
138,2
139,0
140,5
141,1
142,14
143,2
144,3
145,11
146,4
147,13
148,6
149,0
150,12
151,13
152,0
153,14
154,7
155,1
156,8
157,1
158,5
159,12
160,1
161,10
162,10
163,14
164,2
165,0
166,9
167,6
168,0
169,5
170,2
171,11
172,3
173,8
174,11
175,1
176,12
177,8
178,9
179,13
180,3
181,5
182,8
183,4
184,7
185,11
186,10
187,6
188,9
189,5
190,6
191,9
192,14
193,3
194,2
195,4
196,2
197,11
198,6
199,14
200,8
201,9
202,3
203,10
204,6
205,2
206,0
207,14
208,10
209,8
210,3
211,2
212,10
213,9
214,6
215,5
216,7
217,8
218,5
219,11
220,6
221,11
222,9
223,12
224,2
225,4
226,7
227,7
228,5
229,9
230,3
231,9
232,3
233,2
234,6
235,11
236,5
237,11
238,7
239,1
240,4
241,11
242,4
243,9
244,3
245,1
246,11
247,3
248,4
249,10
250,9
251,6
252,4
253,10
254,13
255,9
256,9
257,12
258,6
259,2
260,13
261,13
262,10
263,1
264,7
265,11
266,6
267,10
268,1
269,9
270,2
271,6
272,5
273,3
274,10
275,7
276,5
277,2
278,11
279,0
280,7
281,13
282,2
283,0
284,1
285,2
286,14
287,9
288,6
289,8
290,7
291,5
292,1
293,12
294,3
295,1
296,13
297,4
298,0
299,14
300,12
301,11
302,9
303,12
304,11
305,1
306,14
307,14
308,13
309,1
310,9
311,9
312,9
313,12
314,0
315,2
316,1
317,12
318,9
319,9
320,6
321,2
322,12
323,10
324,14
325,10
326,9
327,8
328,2
329,10
330,9
331,7
332,7
333,9
334,1
335,1
336,8
337,3
338,7
339,14
340,3
341,1
342,7
343,1
344,6
345,13
346,10
347,3
348,0
349,0
350,13
351,3
352,4
353,5
354,13
355,9
356,0
357,6
358,11
359,12
360,13
361,12
362,10
363,0
364,8
365,2
366,9
367,5
368,11
369,6
370,12
371,2
372,1
373,7
374,13
375,10
376,13
377,14
378,2
379,13
380,5
381,1
382,13
383,3
384,10
385,14
386,4
387,14
388,5
389,7
390,9
391,4
392,3
393,3
394,4
395,0
396,11
397,12
398,7
399,2
400,3
401,12
402,8
403,7
404,3
405,1
406,14
407,5
408,2
409,12
410,6
411,6
412,8
413,2
414,2
415,10
416,11
417,2
418,8
419,7
420,7
421,13
422,3
423,14
424,14
425,7
426,8
427,4
428,2
429,13
430,9
431,6
432,9
433,10
434,1
435,5
436,7
437,0
438,13
439,11
440,10
441,9
442,3
443,5
444,0
445,13
446,4
447,5
448,6
449,0
450,3
451,13
452,11
453,7
454,5
455,1
456,4
457,6
458,4
459,6
460,0
461,11
462,8
463,7
464,7
465,2
466,7
467,13
468,6
469,6
470,5
471,5
472,1
473,1
474,8
475,0
476,2
477,7
478,13
479,14
480,0
481,2
482,2
483,9
484,12
485,9
486,6
487,5
488,0
489,0
490,0
491,0
492,14
493,12
494,10
495,5
496,10
497,5
498,6
499,8
500,5
501,8
502,8
503,10
504,10
505,3
506,9
507,5
508,13
509,9
510,3
511,0
512,11
513,5
514,13
515,2
516,1
517,12
518,14
519,10
520,4
521,9
522,10
523,3
524,10
525,12
526,9
527,6
528,9
529,5
530,8
531,14
532,3
533,9
534,11
535,0
536,12
537,5
538,6
539,7
540,1
541,4
542,10
543,12
544,8
545,7
546,13
547,9
548,4
549,12
550,4
551,14
552,0
553,4
554,5
555,2
556,12
557,9
558,8
559,1
560,14
561,14
562,12
563,6
564,13
565,14
566,2
567,10
568,7
569,9
570,14
571,3
572,13
573,14
574,5
575,14
576,6
577,14
578,11
579,4
580,12
581,14
582,14
583,8
584,9
585,4
586,7
587,3
588,3
589,12
590,11
591,3
592,8
593,4
594,1
595,0
596,13
597,7
598,1
599,9
600,10
601,10
602,1
603,5
604,2
605,6
606,12
607,12
608,5
609,3
610,8
611,7
612,9
613,11
614,7
615,6
616,9
617,12
618,2
619,7
620,1
621,3
622,0
623,12
624,9
625,6
626,1
627,14
628,0
629,10
630,3
631,8
632,1
633,6
634,4
635,3
636,8
637,0
638,8
639,4
640,12
641,5
642,11
643,3
644,5
645,6
646,10
647,0
648,5
649,14
650,12
651,0
652,9
653,3
654,5
655,8
656,6
657,8
658,3
659,4
660,7
661,2
662,3
663,5
664,14
665,13
666,2
667,14
668,4
669,5
670,7
671,14
672,6
673,3
674,1
675,10
676,6
677,0
678,5
679,12
680,14
681,7
682,6
683,2
684,8
685,13
686,6
687,1
688,0
689,6
690,5
691,6
692,7
693,12
694,5
695,10
696,9
697,4
698,4
699,10
700,6
701,9
702,8
703,1
704,14
705,4
706,13
707,2
708,12
709,11
710,10
711,10
712,1
713,0
714,4
715,2
716,2
717,6
718,0
719,0
720,11
721,3
722,11
723,3
724,1
725,9
726,1
727,14
728,5
729,8
730,9
731,2
732,2
733,11
734,3
735,13
736,4
737,13
738,10
739,9
740,7
741,11
742,6
743,13
744,3
745,12
746,12
747,6
748,2
749,7
750,6
751,0
752,4
753,1
754,4
755,9
756,8
757,11
758,14
759,2
760,13
761,0
762,3
763,9
764,0
765,2
766,11
767,9
768,9
769,6
770,5
771,6
772,11
773,1
774,0
775,1
776,6
777,13
778,1
779,13
780,13
781,11
782,4
783,13
784,9
785,2
786,10
787,12
788,6
789,1
790,11
791,2
792,8
793,3
794,5
795,4
796,8
797,2
798,6
799,5
800,8
801,11
802,14
803,6
804,4
805,3
806,1
807,14
808,8
809,13
810,10
811,14
812,11
813,2
814,8
815,1
816,4
817,4
818,11
819,4
820,12
821,5
822,9
823,14
824,2
825,3
826,0
827,7
828,4
829,14
830,14
831,6
832,12
833,7
834,11
835,14
836,14
837,2
838,12
839,13
840,8
841,14
842,6
843,3
844,9
845,12
846,6
847,3
848,6
849,12
850,1
851,13
852,10
853,6
854,11
855,12
856,9
857,12
858,2
859,3
860,10
861,5
862,14
863,2
864,10
865,11
866,13
867,8
868,1
869,0
870,3
871,8
872,3
873,0
874,1
875,10
876,6
877,10
878,2
879,4
880,9
881,5
882,9
883,13
884,0
885,12
886,3
887,3
888,5
889,8
890,14
891,4
892,7
893,13
894,0
895,11
896,10
897,14
898,8
899,7
900,0
901,14
902,7
903,8
904,5
905,10
906,14
907,4
908,11
909,10
910,9
911,4
912,10
913,11
914,1
915,8
916,12
917,13
918,2
919,13
920,3
921,4
922,5
923,8
924,12
925,11
926,4
927,10
928,5
929,6
930,7
931,14
932,3
933,1
934,8
935,7
936,2
937,8
938,2
939,5
940,2
941,6
942,4
943,10
944,5
945,7
946,0
947,10
948,5
949,6
950,4
951,3
952,14
953,4
954,6
955,1
956,1
957,9
958,1
959,13
960,9
961,3
962,0
963,2
964,8
965,10
966,13
967,9
968,14
969,8
970,9
971,14
972,11
973,3
974,1
975,6
976,11
977,5
978,11
979,13
980,4
981,2
982,3
983,8
984,14
985,7
986,13
987,10
988,6
989,4
990,12
991,0
992,0
993,4
994,3
995,0
996,3
997,2
998,6
999,3
1000,6
1001,11
1002,8
1003,4
1004,13
1005,14
1006,4
1007,1
1008,1
1009,14
1010,10
1011,5
1012,8
1013,7
1014,8
1015,6
1016,2
1017,5
1018,11
1019,1
1020,14
1021,4
1022,8
1023,13
1024,2
1025,13
1026,5
1027,14
1028,10
1029,0
1030,0
1031,9
1032,8
1033,4
1034,11
1035,8
1036,14
1037,9
1038,4
1039,10
1040,1
1041,3
1042,1
1043,7
1044,14
1045,10
1046,1
1047,2
1048,12
1049,0
1050,10
1051,13
1052,12
1053,10
1054,3
1055,11
1056,12
1057,4
1058,14
1059,6
1060,2
1061,1
1062,4
1063,11
1064,9
1065,1
1066,6
1067,8
1068,11
1069,5
1070,1
1071,3
1072,7
1073,11
1074,12
1075,4
1076,4
1077,5
1078,5
1079,10
1080,9
1081,4
1082,4
1083,2
1084,2
1085,1
1086,3
1087,13
1088,0
1089,1
1090,14
1091,3
1092,0
1093,8
1094,3
1095,5
1096,14
1097,8
1098,1
1099,5
1100,10
1101,5
1102,6
1103,4
1104,10
1105,0
1106,5
1107,9
1108,11
1109,3
1110,8
1111,14
1112,11
1113,7
1114,4
1115,12
1116,3
1117,8
1118,9
1119,14
1120,14
1121,4
1122,2
1123,4
1124,4
1125,7
1126,11
1127,8
1128,7
1129,9
1130,6
1131,3
1132,7
1133,14
1134,0
1135,7
1136,8
1137,6
1138,6
1139,6
1140,10
1141,7
1142,5
1143,5
1144,13
1145,13
1146,0
1147,10
1148,7
1149,4
1150,7
1151,8
1152,12
1153,6
1154,3
1155,8
1156,13
1157,9
1158,11
1159,4
1160,8
1161,12
1162,1
1163,6
1164,14
1165,5
1166,1
1167,5
1168,14
1169,7
1170,9
1171,10
1172,1
1173,6
1174,13
1175,7
1176,0
1177,11
1178,1
1179,3
1180,1
1181,4
1182,2
1183,0
1184,5
1185,4
1186,5
1187,5
1188,7
1189,5
1190,3
1191,13
1192,10
1193,14
1194,2
1195,1
1196,14
1197,11
1198,6
1199,13
1200,10
1201,11
1202,4
1203,7
1204,11
1205,8
1206,13
1207,8
1208,3
1209,11
1210,9
1211,0
1212,9
1213,7
1214,13
1215,14
1216,11
1217,5
1218,13
1219,4
1220,0
1221,0
1222,5
1223,6
1224,8
1225,5
1226,5
1227,2
1228,5
1229,7
1230,14
1231,5
1232,4
1233,1
1234,4
1235,4
1236,5
1237,9
1238,12
1239,5
1240,14
1241,9
1242,0
1243,1
1244,13
1245,11
1246,7
1247,9
1248,2
1249,1
1250,0
1251,6
1252,1
1253,12
1254,2
1255,8
1256,12
1257,4
1258,7
1259,1
1260,6
1261,12
1262,5
1263,3
1264,9
1265,7
1266,1
1267,10
1268,9
1269,13
1270,3
1271,13
1272,2
1273,8
1274,4
1275,9
1276,8
1277,4
1278,4
1279,0
1280,8
1281,6
1282,6
1283,13
1284,14
1285,9
1286,7
1287,12
1288,8
1289,4
1290,3
1291,5
1292,6
1293,2
1294,1
1295,0
1296,2
1297,10
1298,14
1299,14
1300,11
1301,0
1302,10
1303,6
1304,6
1305,1
1306,8
1307,6
1308,10
1309,7
1310,7
1311,9
1312,5
1313,13
1314,7
1315,10
1316,11
1317,12
1318,10
1319,2
1320,13
1321,9
1322,1
1323,9
1324,10
1325,12
1326,5
1327,12
1328,13
1329,7
1330,3
1331,11
1332,14
1333,7
1334,13
1335,1
1336,8
1337,12
1338,3
1339,9
1340,14
1341,10
1342,11
1343,0
1344,11
1345,9
1346,13
1347,6
1348,9
1349,2
1350,12
1351,13
1352,12
1353,3
1354,4
1355,10
1356,1
1357,11
1358,3
1359,12
1360,3
1361,4
1362,6
1363,2
1364,13
1365,14
1366,2
1367,3
1368,9
1369,5
1370,1
1371,0
1372,1
1373,8
1374,6
1375,11
1376,10
1377,12
1378,3
1379,8
1380,2
1381,0
1382,8
1383,0
1384,7
1385,1
1386,9
1387,0
1388,13
1389,10
1390,7
1391,9
1392,8
1393,0
1394,9
1395,7
1396,2
1397,13
1398,9
1399,3
1400,1
1401,8
1402,8
1403,4
1404,0
1405,10
1406,0
1407,14
1408,3
1409,8
1410,7
1411,1
1412,11
1413,8
1414,3
1415,9
1416,2
1417,7
1418,1
1419,1
1420,10
1421,12
1422,0
1423,2
1424,4
1425,1
1426,13
1427,13
1428,3
1429,12
1430,4
1431,6
1432,10
1433,3
1434,13
1435,6
1436,4
1437,11
1438,13
1439,12
1440,3
1441,14
1442,4
1443,13
1444,8
1445,12
1446,5
1447,7
1448,5
1449,0
1450,12
1451,13
1452,6
1453,8
1454,12
1455,2
1456,11
1457,7
1458,10
1459,9
1460,7
1461,1
1462,10
1463,0
1464,6
1465,14
1466,9
1467,12
1468,1
1469,2
1470,9
1471,14
1472,14
1473,13
1474,3
1475,1
1476,14
1477,4
1478,1
1479,8
1480,0
1481,10
1482,10
1483,11
1484,3
1485,4
1486,0
1487,8
1488,5
1489,8
1490,14
1491,10
1492,14
1493,13
1494,4
1495,1
1496,5
1497,12
1498,1
1499,13
1500,1
1501,11
1502,3
1503,12
1504,8
1505,2
1506,12
1507,8
1508,2
1509,11
1510,12
1511,12
1512,13
1513,14
1514,10
1515,3
1516,13
1517,11
1518,12
1519,0
1520,6
1521,3
1522,11
1523,11
1524,14
1525,6
1526,0
1527,1
1528,2
1529,2
1530,14
1531,12
1532,11
1533,7
1534,5
1535,3
1536,14
1537,14
1538,1
1539,7
1540,4
1541,12
1542,5
1543,4
1544,10
1545,2
1546,2
1547,11
1548,2
1549,12
1550,4
1551,10
1552,12
1553,2
1554,5
1555,1
1556,13
1557,6
1558,10
1559,12
1560,14
1561,10
1562,13
1563,0
1564,4
1565,1
1566,10
1567,13
1568,0
1569,6
1570,11
1571,0
1572,13
1573,5
1574,6
1575,1
1576,1
1577,10
1578,5
1579,8
1580,2
1581,0
1582,3
1583,2
1584,4
1585,2
1586,10
1587,1
1588,3
1589,14
1590,11
1591,5
1592,0
1593,13
1594,8
1595,1
1596,0
1597,7
1598,14
1599,9
1600,0
1601,9
1602,1
1603,5
1604,10
1605,13
1606,7
1607,3
1608,1
1609,2
1610,10
1611,3
1612,2
1613,10
1614,3
1615,6
1616,13
1617,12
1618,4
1619,2
1620,7
1621,7
1622,7
1623,9
1624,5
1625,14
1626,5
1627,0
1628,3
1629,10
1630,5
1631,12
1632,6
1633,12
1634,6
1635,13
1636,3
1637,8
1638,10
1639,14
1640,2
1641,9
1642,4
1643,9
1644,10
1645,2
1646,7
1647,4
1648,2
1649,4
1650,4
1651,11
1652,1
1653,2
1654,12
1655,14
1656,3
1657,5
1658,0
1659,6
1660,3
1661,3
1662,1
1663,13
1664,12
1665,6
1666,6
1667,5
1668,8
1669,12
1670,4
1671,13
1672,1
1673,13
1674,1
1675,2
1676,5
1677,0
1678,5
1679,2
1680,2
1681,2
1682,13
1683,9
1684,5
1685,11
1686,10
1687,12
1688,5
1689,2
1690,6
1691,10
1692,6
1693,9
1694,5
1695,8
1696,0
1697,7
1698,3
1699,7
1700,2
1701,7
1702,3
1703,7
1704,4
1705,12
1706,14
1707,14
1708,7
1709,7
1710,9
1711,5
1712,8
1713,7
1714,7
1715,3
1716,8
1717,9
1718,7
1719,11
1720,7
1721,13
1722,6
1723,0
1724,3
1725,11
1726,13
1727,7
1728,1
1729,4
1730,10
1731,2
1732,12
1733,2
1734,6
1735,12
1736,10
1737,8
1738,13
1739,9
1740,8
1741,14
1742,1
1743,7
1744,8
1745,1
1746,2
1747,11
1748,12
1749,7
1750,7
1751,6
1752,9
1753,11
1754,1
1755,2
1756,4
1757,6
1758,3
1759,14
1760,10
1761,2
1762,1
1763,7
1764,3
1765,14
1766,10
1767,1
1768,13
1769,14
1770,8
1771,12
1772,9
1773,6
1774,6
1775,2
1776,0
1777,14
1778,3
1779,12
1780,9
1781,3
1782,7
1783,6
1784,1
1785,13
1786,9
1787,5
1788,5
1789,5
1790,11
1791,3
1792,8
1793,12
1794,2
1795,2
1796,8
1797,1
1798,8
1799,14
1800,2
1801,12
1802,4
1803,0
1804,8
1805,1
1806,13
1807,0
1808,3
1809,11
1810,3
1811,14
1812,3
1813,14
1814,0
1815,11
1816,8
1817,9
1818,6
1819,1
1820,8
1821,11
1822,6
1823,6
1824,5
1825,8
1826,7
1827,8
1828,13
1829,3
1830,7
1831,11
1832,12
1833,0
1834,6
1835,7
1836,14
1837,4
1838,7
1839,5
1840,3
1841,9
1842,0
1843,13
1844,13
1845,11
1846,13
1847,1
1848,2
1849,12
1850,6
1851,14
1852,9
1853,14
1854,10
1855,6
1856,7
1857,12
1858,10
1859,7
1860,1
1861,14
1862,7
1863,3
1864,8
1865,8
1866,11
1867,8
1868,14
1869,9
1870,5
1871,11
1872,3
1873,0
1874,7
1875,0
1876,0
1877,3
1878,13
1879,12
1880,3
1881,13
1882,8
1883,4
1884,5
1885,13
1886,5
1887,1
1888,2
1889,14
1890,4
1891,0
1892,7
1893,2
1894,10
1895,13
1896,10
1897,7
1898,12
1899,0
1900,14
1901,5
1902,13
1903,8
1904,5
1905,10
1906,13
1907,8
1908,4
1909,1
1910,7
1911,12
1912,10
1913,1
1914,6
1915,8
1916,6
1917,8
1918,8
1919,0
1920,8
1921,6
1922,11
1923,1
1924,10
1925,9
1926,0
1927,11
1928,0
1929,13
1930,4
1931,0
1932,0
1933,6
1934,4
1935,14
1936,0
1937,5
1938,8
1939,11
1940,6
1941,11
1942,0
1943,14
1944,9
1945,14
1946,3
1947,6
1948,5
1949,4
1950,3
1951,1
1952,4
1953,1
1954,8
1955,14
1956,9
1957,1
1958,9
1959,8
1960,1
1961,11
1962,11
1963,9
1964,13
1965,7
1966,0
1967,13
1968,7
1969,6
1970,2
1971,8
1972,5
1973,14
1974,3
1975,7
1976,0
1977,12
1978,8
1979,1
1980,7
1981,1
