Employee_ID,Training_Hours
1,66
2,61
3,1
4,0
5,9
6,95
7,27
8,64
9,0
10,53
11,90
12,88
13,17
14,26
15,37
16,46
17,76
18,54
19,36
20,66
21,53
22,20
23,71
24,78
25,49
26,9
27,26
28,45
29,42
30,37
31,16
32,22
33,37
34,37
35,36
36,21
37,18
38,48
39,6
40,85
41,28
42,28
43,21
44,85
45,4
46,90
47,21
48,82
49,13
50,15
51,28
52,18
53,12
54,92
55,68
56,7
57,36
58,27
59,74
60,99
61,20
62,75
63,73
64,21
65,3
66,12
67,93
68,64
69,9
70,8
71,75
72,15
73,41
74,8
75,1
76,84
77,82
78,38
79,94
80,53
81,94
82,0
83,85
84,67
85,0
86,40
87,59
88,12
89,22
90,53
91,26
92,84
93,3
94,81
95,33
96,43
97,0
98,64
99,37
100,30
101,48
102,48
103,57
104,53
105,29
106,10
107,1
108,12
109,82
110,56
111,75
112,34
113,59
114,31
115,88
116,96
117,44
118,81
119,4
120,65
121,23
122,13
123,60
124,19
125,36
126,60
127,35
128,44
129,66
130,66
131,97
132,34
133,92
134,44
135,63
136,94
137,9
138,34
139,22
140,11
141,16
142,45
143,93
144,64
145,46
146,80
147,1
148,34
149,78
150,92
151,19
152,51
153,21
154,15
155,30
156,70
157,71
158,11
159,98
160,27
161,70
162,41
163,29
164,53
165,43
166,47
167,78
168,93
169,84
170,49
171,52
172,50
173,63
174,16
175,42
176,16
177,99
178,47
179,79
180,36
181,67
182,56
183,21
184,62
185,56
186,59
187,38
188,97
189,11
190,4
191,12
192,64
193,99
194,85
195,61
196,26
197,15
198,42
199,56
200,38
201,26
202,14
203,87
204,37
205,40
206,88
207,66
208,64
209,75
210,23
211,98
212,52
213,21
214,99
215,69
216,74
217,5
218,7
219,95
220,82
221,9
222,14
223,52
224,43
225,29
226,65
227,69
228,53
229,7
230,70
231,56
232,80
233,29
234,58
235,91
236,29
237,33
238,37
239,55
240,90
241,32
242,8
243,33
244,31
245,65
246,87
247,18
248,37
249,75
250,84
251,20
252,25
253,57
254,37
255,3
256,81
257,12
258,78
259,57
260,94
261,93
262,89
263,9
264,18
265,81
266,4
267,76
268,32
269,69
270,57
271,19
272,25
273,5
274,33
275,12
276,53
277,74
278,66
279,48
280,49
281,36
282,42
283,45
284,75
285,66
286,2
287,58
288,66
289,94
290,5
291,88
292,46
293,33
294,2
295,39
296,21
297,35
298,76
299,92
300,23
301,68
302,62
303,19
304,94
305,20
306,77
307,26
308,30
309,53
310,76
311,84
312,57
313,90
314,84
315,57
316,71
317,28
318,66
319,52
320,34
321,41
322,37
323,3
324,58
325,87
326,74
327,65
328,42
329,42
330,26
331,4
332,3
333,68
334,45
335,86
336,83
337,26
338,51
339,67
340,22
341,59
342,20
343,6
344,86
345,36
346,73
347,97
348,57
349,81
350,9
351,89
352,32
353,68
354,41
355,11
356,94
357,63
358,90
359,35
360,10
361,42
362,91
363,92
364,37
365,98
366,0
367,28
368,74
369,54
370,88
371,80
372,27
373,0
374,7
375,11
376,80
377,7
378,29
379,40
380,87
381,43
382,32
383,58
384,88
385,61
386,31
387,64
388,25
389,95
390,89
391,76
392,85
393,67
394,25
395,19
396,97
397,96
398,29
399,12
400,7
401,74
402,70
403,60
404,40
405,66
406,73
407,24
408,41
409,51
410,13
411,88
412,18
413,55
414,47
415,97
416,9
417,93
418,94
419,86
420,58
421,63
422,43
423,2
424,62
425,48
426,28
427,41
428,19
429,12
430,4
431,57
432,27
433,45
434,5
435,75
436,85
437,5
438,50
439,26
440,5
441,12
442,54
443,40
444,7
445,10
446,88
447,37
448,62
449,93
450,7
451,78
452,53
453,59
454,28
455,68
456,94
457,4
458,40
459,60
460,67
461,98
462,74
463,62
464,64
465,35
466,5
467,99
468,48
469,54
470,48
471,22
472,27
473,64
474,70
475,6
476,58
477,3
478,26
479,10
480,42
481,39
482,48
483,34
484,26
485,8
486,80
487,20
488,86
489,97
490,11
491,99
492,7
493,64
494,88
495,37
496,69
497,26
498,48
499,62
500,97
501,90
502,98
503,19
504,36
505,39
506,87
507,45
508,51
509,57
510,7
511,15
512,74
513,72
514,51
515,30
516,44
517,3
518,93
519,47
520,56
521,57
522,28
523,81
524,12
525,48
526,67
527,51
528,6
529,68
530,22
531,88
532,87
533,39
534,97
535,47
536,26
537,89
538,57
539,29
540,89
541,2
542,26
543,42
544,3
545,45
546,5
547,79
548,31
549,81
550,62
551,59
552,17
553,46
554,7
555,96
556,19
557,90
558,98
559,34
560,40
561,37
562,61
563,12
564,20
565,3
566,60
567,75
568,52
569,2
570,87
571,5
572,23
573,56
574,92
575,31
576,5
577,47
578,0
579,84
580,77
581,35
582,86
583,13
584,32
585,71
