Employee_ID,Projects_Handled
1,32
2,34
3,27
4,10
5,11
6,31
7,20
8,46
9,23
10,33
11,1
12,13
13,11
14,30
15,49
16,41
17,26
18,36
19,9
20,0
21,28
22,22
23,40
24,2
25,21
26,24
27,24
28,42
29,34
30,25
31,15
32,25
33,49
34,26
35,13
36,9
37,42
38,6
39,7
40,2
41,45
42,10
43,48
44,25
45,7
46,19
47,19
48,31
49,49
50,10
51,26
52,9
53,34
54,22
55,26
56,18
57,46
58,42
59,7
60,17
61,17
62,44
63,29
64,10
65,37
66,32
67,30
68,10
69,6
70,2
71,20
72,1
73,42
74,6
75,6
76,36
77,46
78,28
79,36
80,27
81,12
82,19
83,24
84,38
85,16
86,11
87,1
88,45
89,1
90,11
91,42
92,11
93,9
94,19
95,4
96,24
97,24
98,31
99,33
100,9
101,0
102,31
103,45
104,44
105,1
106,1
107,8
108,26
109,24
110,32
111,33
112,5
113,14
114,14
115,24
116,5
117,4
118,44
119,12
120,15
121,2
122,42
123,11
124,31
125,4
126,6
127,44
128,27
129,8
130,10
131,14
132,14
133,9
134,41
135,24
136,28
137,21
138,9
139,24
140,4
141,20
142,6
143,27
144,49
145,18
146,30
147,41
148,26
149,3
150,17
151,11
152,10
153,49
154,19
155,49
156,30
157,5
158,45
159,36
160,28
161,43
162,35
163,46
164,33
165,26
166,29
167,44
168,48
169,17
170,22
171,49
172,23
173,17
174,30
175,48
176,14
177,2
178,42
179,21
180,36
181,13
182,38
183,26
184,27
185,30
186,37
187,28
188,14
189,47
190,24
191,18
192,49
193,2
194,28
195,19
196,16
197,9
198,14
199,40
200,4
201,12
202,28
203,5
204,19
205,39
206,10
207,28
208,20
209,49
210,39
211,47
212,27
213,16
214,5
215,25
216,0
217,12
218,7
219,12
220,0
221,41
222,7
223,35
224,22
225,21
226,0
227,47
228,37
229,29
230,8
231,9
232,34
233,28
234,38
235,12
236,3
237,30
238,9
239,17
240,27
241,12
242,10
243,38
244,44
245,9
246,46
247,33
248,36
249,43
250,28
251,27
252,44
